20210409,Kalimantan,1970858,671903,547123,736,666,454,143060
20210409,Papua,1882393,496608,389706,607,507,290,188080
20210409,Sulawesi,4128393,1250606,992688,1488,1311,849,239980
20210409,Sumbagsel,3113950,966827,783786,996,889,628,128890
20210409,Sumbagteng,2910703,941504,783488,1052,953,668,97400
20210409,Sumbagut,3651552,1084598,902296,1094,996,711,75080
20210410,Balinusra,1780556,573897,473209,827,756,521,76090
20210410,Jabar,1518092,493457,405232,436,397,299,98070
20210410,Jabotabek,2741798,877768,720594,874,804,547,232820
20210410,Jateng,1254003,407711,330906,286,262,178,31930
20210410,Jatim,2281756,759971,616040,497,450,321,84710
20210410,Kalimantan,2032864,683596,558358,724,645,391,139550
20210410,Papua,1833484,490452,382233,692,563,336,223760
20210410,Sulawesi,4182869,1253838,995180,1401,1237,785,283160
20210410,Sumbagsel,3078637,955281,770239,1030,938,645,150870
20210410,Sumbagteng,2982347,954043,794308,1018,909,621,116590
20210410,Sumbagut,3752368,1094387,907820,1064,951,631,177870
20210411,Balinusra,1654312,537131,435324,780,727,512,65020
20210411,Jabar,1417797,463230,376208,395,364,265,47580
20210411,Jabotabek,2500889,813276,658257,890,802,546,169370
20210411,Jateng,1138778,375999,299987,296,271,195,44260
20210411,Jatim,2082954,698471,557126,440,397,259,93930
20210411,Kalimantan,1899858,642642,519114,712,629,418,153770
20210411,Papua,1618982,453178,343388,604,513,294,203900
20210411,Sulawesi,3836367,1173898,914606,1315,1163,782,173210
20210411,Sumbagsel,2887060,902872,718526,985,899,615,164460
20210411,Sumbagteng,2764040,893465,733715,1029,932,655,68440
20210411,Sumbagut,3371622,997213,810889,1021,938,663,109420
